"id_registry","project_name","state","methodology_version","treatment","start","end","certification_date","redd_type","polygon_area","percentage_public_area","area_hectares"
"1094","Ecomapua Amazon REDD Project","PA","VM0015",1,"2003-01-01","2032-12-31","2013-03-06","AUD",98476.073878633,65.1719983809505,86270
"1112","The Russas Project","AC","VM0007",1,"2011-03-17","2041-03-16","2014-05-15","AUD",42515.8895372895,98.9866099203812,41976
"1113","The Valparaiso Project","AC","VM0007",1,"2011-03-19","2041-03-18","2014-09-23","AUD",28988.3114642734,87.9840312054474,28096
"1115","JARI/AMAPÁ REDD+ PROJECT","AP","VM0015",1,"2011-02-14","2041-02-13","2013-05-10","AUD",65991.5345857689,1.51484202016546,65982
"1118","Suruí Forest Carbon Project","RO/MT","VM0015",1,"2009-06-09","2039-06-08","2012-02-29","AUD",247802.376555703,99.7712157113429,31994
"1147","Amazon Rio REDD+ IFM","AM","VM0011",1,"2013-06-05","2049-06-04","2017-11-17","APD",19941.9469002246,11.3081960052567,18559
"1329","Maísa REDD+ Project","PA","VM0015",1,"2012-05-21","2042-05-20","2014-12-29","AUD",30016.6207402961,NA,28752
"1382","The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil","AC","VM0007",1,"2012-08-02","2042-08-01","2015-04-06","APD",39309.2246797,NA,39301
"1503","RESEX Rio Preto-Jacundá REDD+ Project","RO","VM0015",1,"2012-10-01","2042-09-30","2016-06-14","AUD",100942.145738346,94.9800886233694,94289
"1571","Manoa REDD+ Project","RO","VM0015",1,"2013-01-01","2042-12-31","2017-09-04","AUD",73149.3191680024,0.0369761436995758,730387
"1654","Fortaleza Ituxi REDD Project","AM","VM0015",1,"2013-12-15","2043-12-14","2019-05-17","AUD",46592.0292323731,NA,46592
"1686","Agrocortex REDD Project","AC/AM","VM0015",1,"2014-07-01","2044-06-30","2018-04-11","AUD",186472.542219689,0.547918761234096,186067
"1811","Jari/Pará REDD+ Project","PA","VM0015",1,"2014-07-08","2044-07-07","2019-07-02","AUD",908550.212521185,0.0249344900500143,496988
"1953","Floresta Verde REDD+ Project (former  The ARC REDD+ Project)","PA","VM0015",1,"2016-01-01","2045-12-31","2020-09-28","AUD",53292.5855674527,2.41749156466094,53528
"2252","Rio Anapu-Pacaja REDD Project","PA","VM0015",1,"2016-01-01","2045-12-31","2021-09-16","AUD",164967.034355252,9.58084555347404,165707
"2373","Yellow Ipê Grouped REDD Project","TO","VM0015",1,"2020-03-01","2050-02-28","2021-12-14","AUD",86022.8357121464,0.000384229571591164,86097
"2508","UNITOR REDD+ PROJECT","AM","VM0015",1,"2018-04-26","2048-04-25","2022-04-26","AUD",94006.2509991123,6.50051547102577e-07,94270
"2551","Brazilian Amazon APD Grouped Project","AC/AM/AP/PA/RR/MA/MT/RO/TO","VM0007",1,"2021-08-02","2121-08-01","2022-11-10","APD",18844.0537912613,0.000905044777681108,17660
"2558","ABC Norte REDD Project","PA","VM0015",1,"2017-09-13","2047-09-12","2022-02-21","AUD",145776.822808654,24.1870939976369,140691
"2566","The Serra do Amolar REDD+ Project","MS","VM0015",1,"2016-07-01","2046-06-30","2022-05-13","AUD",135198.886382612,0.843744106736584,135060
"832","Cikel Brazilian Amazon REDD APD Project Avoiding Planned Deforestation","PA","VM0007",1,"2007-07-19","2027-07-18","2012-05-25","APD",27406.5581348158,0.0601196059482438,27434
"875","FLORESTAL SANTA MARIA PROJECT","MT","VM0007",1,"2009-04-13","2039-04-12","2012-05-04","AUD",71661.2057754549,0.00895511265045673,71714
"963","The Purus Project","AC","VM0007",1,"2011-05-23","2041-05-22","2013-01-02","AUD",35822.8454341736,0.507029667918122,34702
"977","RMDLT Portel - Para REDD Project","PA","VM0015",1,"2009-01-01","2048-12-31","2013-04-16","AUD",194534.38533101,31.0561865035672,151105
"981","Pacajai REDD+ Project (former ADPML Portel-Para)","PA","VM0015",1,"2009-01-01","2048-12-31","2013-02-15","AUD",123162.914930765,2.10919865565054,135106
"1561","Sustainable Forestry Management Plan Capture and Sequestration Carbon","PA/AM","VM0007//AR-ACM0003",0,"2016-05-05","2046-05-04",NA,"AUD",332941.827367236,99.8507243941824,3500000
"2482","Boa Fé REDD Project","AM","VM0015",0,"2020-01-01","2029-12-31",NA,"AUD",433515.818759077,0.225956470154599,432690
"2586","413 REDD Project","AM","VM0007",0,"2021-01-01","2050-12-31",NA,"APD",501024.803848393,0.000258926236692718,500996
"2587","Zero Carbon Aripuanã River Valley REDD Project 1","AM","VM0007",0,"2021-01-01","2050-12-31",NA,"APD",153984.259289259,3.57246279496016e-05,153985
"2620","Ribeirinho REDD+ Project","PA","VM0015",0,"2018-07-01","2048-06-30",NA,"AUD",223940.534649554,13.1088706237728,199962
"2709","Juruena River REDD+ Project","MT","VM0015",0,"2020-11-12","2050-11-11",NA,"AUD",48952.3064004516,1.0903624436165e-08,45675
"2870","Gairova REDD+ Project","MT","VM0015",0,"2021-07-30","2051-07-29",NA,"AUD",22667.9548054781,3.00455418874381e-06,22306
"2871","Green Valley Grouped REDD+ Project","MT","VM0015",0,"2018-07-05","2048-07-04",NA,"AUD",10567.0146921302,NA,10526
"2878","Rio Madeira Grouped REDD+ Project","RO/AM","VM0015",0,"2019-10-23","2049-10-22",NA,"AUD",71685.7756338936,0.0192134854231762,52274
"3002","Hiwi REDD+ Project","AC","VM0015",0,"2019-08-31","2049-08-30",NA,"AUD",20476.538512633,0.191213648159966,20505
"3049","Rio Preto Grouped REDD+ Project","MT","VM0015",0,"2019-05-29","2049-05-28",NA,"AUD",3094.44089697079,NA,3096
"3055","Itaúba REDD+ Project","MT","VM0015",0,"2021-12-14","2051-12-13",NA,"AUD",14385.6103038982,0.000622555046917635,15352
"3141","Western Amazon REDD+ Grouped Project","AC/AM","VM0015",0,"2019-01-01","2048-12-31",NA,"AUD",91705.6262394296,12.9458758335364,59959
"3152","Alto Xingu Grouped REDD+ Project","MT","VM0015",0,"2021-07-19","2051-07-18",NA,"AUD",18441.0652392381,NA,15256
"3304","Boa Esperança Grouped REDD+ Project","AM","VM0015",0,"2022-03-07","2032-03-06",NA,"AUD",8928.74311066279,NA,8943
"3306","Buritirana Grouped REDD+ Project","TO","VM0015",0,"2020-09-03","2030-09-02",NA,"AUD",2494.57410192654,NA,4037
"3334","MARAJÓ REDD+ Project","PA","VM0037",0,"2021-10-23","2061-10-22",NA,"AUD",175208.407300462,20.4152379661803,138285
"3430","Juruá REDD+ Project","AC","VM0015",0,"2020-08-01","2030-07-31",NA,"AUD",24035.873569749,0.0473931718706851,24076
"3451","Harpia Grouped REDD+ Project","MT","VM0015",0,"2019-12-09","2029-12-08",NA,"AUD",18633.3659975812,NA,18700
"3590","Jutaituba REDD+ Project","PA","VM0015",0,"2021-01-14","2031-01-13",NA,"AUD",129416.732134248,20.0964637367832,129417
"3601","CAAPII REDD+ PROJECT","PA","VM0015",0,"2019-07-25","2049-07-24",NA,"AUD",33989.9660818427,0.000664877374692719,33767
"3631","IACO REDD+ Project","AC","VM0007",0,"2021-12-16","2051-12-15",NA,"AUD/APD",136719.449870989,0.479707490709022,136364
"3666","Xingu-Araguaia Grouped REDD+ Project","MT","VM0015",0,"2020-12-14","2050-12-13",NA,"AUD",10147.7477092088,NA,9008
"3738","Triunfo do Xingu Grouped REDD+ Project","PA","VM0015",0,"2022-08-31","2052-08-30",NA,"AUD",10698.4711326492,0.245577705878688,10636
"3816","Samaúma REDD+ Project","AM","VM0007",0,"2020-12-20","2050-12-19",NA,"AUD/APD",71696.1789653045,29.0642235886452,71822
"4016","Amazon Biome Conservancy Grouped REDD+ Project","AM","VM0007",0,"2022-11-19","2052-11-18",NA,"APD",5140.2564039584,NA,5140
"4034","Agropalma REDD+ Project","PA","VM0015",0,"2021-08-04","2051-08-03",NA,"AUD",51929.6803415611,0.0762792522399292,50519
"4042","Cauaxi REDD+ Grouped Project","PA","VM0015",0,"2022-05-02","2122-05-01",NA,"AUD",58778.7124526243,0.118944599653598,57204
"4068","Amazon Bluecarbon Grouped REDD Project","PA","VM0015",0,"2022-09-08","2052-09-07",NA,"AUD",3468.90310848927,NA,3242
"4069","Mamuriá Grouped REDD Project","AC","VM0007//VM0015",0,"2020-10-07","2050-10-06",NA,"AUD/APD",48148.2942960779,0.499650865140568,64564
"4082","Canindé Grouped REDD+ Project","MT","VM0007//VM0015",0,"2022-10-10","2052-10-09",NA,"AUD/APD",5460.88642984108,NA,5301
"4084","Arataú REDD Project","PA","VM0015",0,"2022-06-23","2052-06-22",NA,"AUD",25306.0270652075,0.0202257719785332,25418
"4089","Uirapuru Grouped REDD Project","AC","VM0007//VM0015",0,"2020-10-13","2050-10-12",NA,"AUD/APD",3132.3513069036,NA,3290
"4094","Curuá Grouped REDD+ Project","PA","VM0015",0,"2020-06-08","2050-06-07",NA,"AUD",9580.74563715483,NA,9550
"4095","Rio Manito Grouped REDD Project","MT","VM0015",0,"2022-12-01","2052-11-30",NA,"AUD",13543.6684356966,1.08748917295352,13616
"4141","Itamarati Grouped REDD Project","MT","VM0015",0,"2022-04-25","2052-04-24",NA,"AUD",35095.6730716916,NA,22753
"4142","Serenity Valley REDD Project","PA","VM0015",0,"2020-05-25","2050-05-24",NA,"AUD",52424.6159230024,0.0232585421330234,52645
"4263","Sepoti REDD Project","AM","VM0015",0,"2022-10-22","2052-10-21",NA,"AUD",26356.1765615653,83.6195209005775,26062
"4265","REDD+ Café Apuí Agroflorestal","AM","VM0015",0,"2022-03-01","2052-02-29",NA,"AUD",3706.81509371203,86.2609796478508,36708
"4391","Amazon Partners 1","AC","VM0015",0,"2022-12-01","2052-11-30",NA,"AUD",58488.1164832319,0.783261980083146,58488
"4394","Jatobá REDD+ Project","AM","VM0007",0,"2020-04-26","2050-04-25",NA,"APD",18028.9835475616,79.8455719013465,18017
"4461","REDD+ Tauari Forest Conservation Project","AC","VM0007",0,"2022-08-26","2052-08-25",NA,"APD",149165.389766218,0.000330049239504674,126157
"4485","Mejuruá Project","AM","VM0007",0,"2021-07-26","2031-07-25",NA,"AUD",678971.99571031,2.25108375333617e-05,674361
"4497","Amazon Partners 20","AC","VM0015",0,"2023-03-21","2053-03-20",NA,"AUD",77049.9016952298,100.000009179442,76550
"4542","Amazônidas REDD+ AUDD Grouped Project","AM","VM0015",0,"2023-04-05","2123-04-04",NA,"AUD",265085.043792864,1.54789103160114,251706
"4552","UÁKIRY REDD+ AUDD  GROUPED PROJECT","AC","VM0015",0,"2021-08-02","2121-08-01",NA,"AUD",84897.9085250599,0.00442458004163642,84220
"4633","Fortaleza Ituxi II REDD+","AM","VM0007",0,"2021-12-16","2051-12-15",NA,"AUD/APD",69179.3655774197,0.000228609569035791,69185
"4671","TAUARI REDD+ PROJECT","MT","VM0015",0,"2020-09-03","2050-09-02",NA,"AUD",21008.4600966473,NA,21016
"4681","YBYRÁ REDD+ Project","PA","VM0015",0,"2022-01-31","2052-01-30",NA,"AUD",76397.3733520478,1.03284656550263,76481
"4687","Tueré REDD+ Project","PA","VM0015",0,"2022-08-31","2052-08-30",NA,"AUD",138682.254461286,49.0150134648224,135342
